Attribute,Theme,Order,Hyperlink - link to a pdf or a webpage poss FAC poss CoC,Notes
Q44.3 - Where would you look for information about how council services were being affected as a result of the COVID-19 pandemic? - Local radio/newspaper,Coventry Household Survey 2021,5,Coventry Household Survey 2021,% of people who responded 'Local radio/newspaper' to the question: Where would you look for information about how council services were being affected as a result of the COVID-19 pandemic?
Q44.4 - Where would you look for information about how council services were being affected as a result of the COVID-19 pandemic? - Leaflets through the door,Coventry Household Survey 2021,5,Coventry Household Survey 2021,% of people who responded 'Leaflets through the door' to the question: Where would you look for information about how council services were being affected as a result of the COVID-19 pandemic?
Q44.5 - Where would you look for information about how council services were being affected as a result of the COVID-19 pandemic? - Word of mouth,Coventry Household Survey 2021,5,Coventry Household Survey 2021,% of people who responded 'Word of mouth' to the question: Where would you look for information about how council services were being affected as a result of the COVID-19 pandemic?
Q44.6 - Where would you look for information about how council services were being affected as a result of the COVID-19 pandemic? - Other - (please specify in the box below),Coventry Household Survey 2021,5,Coventry Household Survey 2021,% of people who responded 'Other' to the question: Where would you look for information about how council services were being affected as a result of the COVID-19 pandemic?
Q45 - Which of the following best describes your current economic status? - At home/not seeking work - (looking after the home or family),Coventry Household Survey 2021,5,Coventry Household Survey 2021,% of people who responded 'At home/not seeking work (looking after the home or family)' to the question: Which of the following best describes your current economic status? 
Q45 - Which of the following best describes your current economic status? - Carer,Coventry Household Survey 2021,5,Coventry Household Survey 2021,% of people who responded 'Carer' to the question: Which of the following best describes your current economic status? 
Q45 - Which of the following best describes your current economic status? - Doing unpaid/voluntary work,Coventry Household Survey 2021,5,Coventry Household Survey 2021,% of people who responded 'Doing unpaid/voluntary work' to the question: Which of the following best describes your current economic status? 
Q45 - Which of the following best describes your current economic status? - In full time paid work,Coventry Household Survey 2021,5,Coventry Household Survey 2021,% of people who responded 'In full time paid work' to the question: Which of the following best describes your current economic status? 
Q45 - Which of the following best describes your current economic status? - In full-time education,Coventry Household Survey 2021,5,Coventry Household Survey 2021,% of people who responded 'In full-toime education' to the question: Which of the following best describes your current economic status? 
Q45 - Which of the following best describes your current economic status? - In part time paid work,Coventry Household Survey 2021,5,Coventry Household Survey 2021,% of people who responded 'In part time paid work' to the question: Which of the following best describes your current economic status? 
Q45 - Which of the following best describes your current economic status? - Long-term sick or disabled,Coventry Household Survey 2021,5,Coventry Household Survey 2021,% of people who responded 'Long-term sick or disabled' to the question: Which of the following best describes your current economic status? 
Q45 - Which of the following best describes your current economic status? - Not registered unemployed but actively seeking work (i.e. have actively looked for work in the last 4 weeks),Coventry Household Survey 2021,5,Coventry Household Survey 2021,% of people who responded 'Not registered unemployed but actively seeking work (i.e. have actively looked for work in the last 4 weeks)' to the question: Which of the following best describes your current economic status? 
Q45 - Which of the following best describes your current economic status? - Other - (please specify in the box below),Coventry Household Survey 2021,5,Coventry Household Survey 2021,% of people who responded 'Other' to the question: Which of the following best describes your current economic status? 
Q45 - Which of the following best describes your current economic status? - Registered unemployed/signing on for Job Seekers Allowance,Coventry Household Survey 2021,5,Coventry Household Survey 2021,% of people who responded 'Registered unemployed/signing on for Job Seekers Allowance' to the question: Which of the following best describes your current economic status? 
Q45 - Which of the following best describes your current economic status? - Retired,Coventry Household Survey 2021,5,Coventry Household Survey 2021,% of people who responded 'Retired' to the question: Which of the following best describes your current economic status? 
Q45 - Which of the following best describes your current economic status? - Self-employed,Coventry Household Survey 2021,5,Coventry Household Survey 2021,% of people who responded 'Self-employed' to the question: Which of the following best describes your current economic status? 
"Q45 - Which of the following best describes your current economic status? - Taking part in a government training programme (e.g. trade and modern apprenticeships, work based learning for adults)",Coventry Household Survey 2021,5,Coventry Household Survey 2021,"% of people who responded 'Taking part in a government training programme (e.g. trade and modern apprenticeships, work based learning for adults)' to the question: Which of the following best describes your current economic status? "
Q48 - What is your marital status? - Co-habiting,Coventry Household Survey 2021,5,Coventry Household Survey 2021,% of people who responded 'Co-habiting' to the question: What is your marital status? 
Q48 - What is your marital status? - Divorced,Coventry Household Survey 2021,5,Coventry Household Survey 2021,% of people who responded 'Divorced' to the question: What is your marital status? 
Q48 - What is your marital status? - In a registered same-sex civil partnership,Coventry Household Survey 2021,5,Coventry Household Survey 2021,% of people who responded 'In a registered same-sex civil partnership' to the question: What is your marital status? 
Q48 - What is your marital status? - Married,Coventry Household Survey 2021,5,Coventry Household Survey 2021,% of people who responded 'Married' to the question: What is your marital status? 
Q48 - What is your marital status? - Separated but still legally in a same-sex civil partnership,Coventry Household Survey 2021,5,Coventry Household Survey 2021,% of people who responded 'Separated but still legally in a same-sex civil partnership' to the question: What is your marital status? 
Q48 - What is your marital status? - Separated but still legally married,Coventry Household Survey 2021,5,Coventry Household Survey 2021,% of people who responded 'Separated but still legally married' to the question: What is your marital status? 
Q48 - What is your marital status? - Single (Never married and never registered a same-sex civil partnership),Coventry Household Survey 2021,5,Coventry Household Survey 2021,% of people who responded 'Single (Never married and never registered a same-sex civil partnership)' to the question: What is your marital status? 
