IOBS,RESPID,QA,QB,Q1,Q2_1,Q2_2,Q2_3,Q2_4,Q2_5,Q3_1,Q3_2,Q3_3,Q3_4,Q4,Q4DKA,Q4_RCA,Q4_RCB,Q4_RCC,Q4_RCD,Q4_RCE,Q4_RCF,Q4_RCG,Q4_RCH,Q4_RCI,Q4_RCJ,Q4_RCK,Q4_RCL,Q4_RCM,Q4_RCN,Q4_RCO,Q4_RCP,Q4_RCQ,Q4_RCR,Q4_RCS,Q4_RCT,Q5,Q6_1,Q6_2,Q6_3,Q6_4,Q6_5,Q7A,Q7B,Q7C,Q7D,Q7E,Q7F,Q7G,Q7H,Q7I,Q8,Q9A,Q9B,Q9C,Q9D,Q9E,Q9F,Q9G,Q9H,Q10A,Q10B,Q10C,Q10D,Q10E,Q10F,Q10G,Q10H,Q11,Q11A,Q12,Q12DKA,Q13_1,Q13_2,Q13_3,Q13_4,Q13_5,Q14_1,Q14_2,Q14_3,Q14_4,Q14_5,Q14_6,Q15,Q15B,Q16,Q17,Q17DKA,Q18,Q18REFA,Q19,Q20,Q21,Q22,STYPE,WARD,AREA,TYPE,ACORN,WEIGHT
114,114,50-64,Male,Yes,Yes,No,Yes,No,No,Disagree,Disagree,Disagree,Agree,A mixed culture getting along with other.,,,,,,,,,,Community/integration e.g. bringing people together,,,,,,,,,,,,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Museums and galleries,"Pubs, clubs, and bars",,Live music,Theatre,Cinema,,Faith-based cultural activities,,5-6,,,,,,,,,Events that are based on my interests,Events that involve family and friends,Events which are free,Events across different times of the day in different places in the city,Events which are low cost,Offers for exclusive deals with partners such as restaurants and bars,Opportunity to earn loyalty points to unlock exclusive experiences and opportunities,,Fairly likely,The opportunity to show off my city,Multicultural,,Definitely,Definitely,Definitely,Definitely,Definitely,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Strongly agree,"A lot of events that you wouldn't always see, I saw online some dancing.",,CV6 6BX,,"Yes, limited a lot",White – British,Heterosexual/Straight,No,RDD,Longford,North East,CATI,5 - Urban Adversity,1.1805116
115,115,65+,Male,Yes,No,No,No,No,No,Agree,Not sure,Strongly agree,Not sure,Continue with the nice scenery in the city centre and keeping it clean,,,,,,,,,,,,,,,,,,Positive comments,,,,Strongly agree,Strongly agree,Not sure,Agree,Not sure,Not sure,Museums and galleries,"Pubs, clubs, and bars",,,Theatre,Cinema,,,,1-2,,,The events that are on don't appeal to me,,Feeling unsafe being out at night,Feeling unsafe being out during the day,,,Events that are based on my interests,,,,,Offers for exclusive deals with partners such as restaurants and bars,Opportunity to earn loyalty points to unlock exclusive experiences and opportunities,,Fairly likely,To see a show or event that I know will appeal to my friend or family member,empty,,Somewhat,Somewhat,Not really,Somewhat,Not really,Very important,Fairly important,Don't know / Not sure,Fairly important,Fairly important,Not at all important,Fairly important,Not at all important,Strongly disagree,,,CV2,,No,White – British,Gay Woman/Lesbian,No,Lifestyle,Henley,North East,CATI,Prefer not to say / Unable to code,1.3454213
116,116,20-34,Female,Yes,No,No,No,No,No,Disagree,Agree,Disagree,Disagree,MORE ENTERTAINMENT LIKE FESTIVAL GARDENS AND SHOWS,,,Arts/theatre/music/cultural events,,,,,,,,,,,,,,,,,,,Agree,Agree,Strongly disagree,Agree,Strongly agree,Disagree,,"Pubs, clubs, and bars",Live events,,Theatre,Cinema,,,,3-4,,,,,,,,,Events that are based on my interests,,Events which are free,Events across different times of the day in different places in the city,Events which are low cost,Offers for exclusive deals with partners such as restaurants and bars,,,Not very likely,,CITY WITH A BIT OF EVERYTHING,,Not at all,Not at all,Somewhat,Somewhat,Somewhat,Not very important,Fairly important,Fairly important,Very important,Fairly important,Not very important,Not very important,Not very important,Agree,ASSEMBLY FESTIVAL GARDEN,,CV21QJ,,No,White – British,Heterosexual/Straight,No,Lifestyle,Longford,North East,CATI,4 - Financially Stretched,0.8246246
117,117,50-64,Male,Yes,Yes,No,No,Yes,Yes,Not sure,Agree,Not sure,Disagree,More visibility of what's going on within the community and at the more formal gatherings.,,,,,,Awareness e.g. advertising,,,,,,,,,,,,,,,,Strongly agree,Agree,Agree,Agree,Disagree,Disagree,Museums and galleries,,Live events,Live music,Theatre,,,Faith-based cultural activities,,11+,,,,,,,,,Events that are based on my interests,Events that involve family and friends,Events which are free,Events across different times of the day in different places in the city,Events which are low cost,Offers for exclusive deals with partners such as restaurants and bars,Opportunity to earn loyalty points to unlock exclusive experiences and opportunities,,Fairly likely,To see a show or event that I know will appeal to my friend or family member,Inclusive city,,Not really,Not really,Not really,Definitely,Somewhat,Fairly important,Fairly important,Don't know / Not sure,Fairly important,Fairly important,Fairly important,Fairly important,Not very important,Disagree,,,CV36GS,,No,White – British,Heterosexual/Straight,No,Lifestyle,Earlsdon,South West,CATI,1 - Affluent Achievers,0.9638936
118,118,65+,Female,Yes,Yes,No,No,No,No,Agree,Agree,Not sure,Agree,i want people more interested in culture and reading,,,Arts/theatre/music/cultural events,,,,,,,,,,,,,,,,,,,Agree,Not sure,Not sure,Not sure,Agree,Not sure,Museums and galleries,,Live events,Live music,Theatre,Cinema,"Activities organised by arts-based community groups (e.g. dance, music, arts, etc.)",Faith-based cultural activities,,11+,,,,,,,,,Events that are based on my interests,Events that involve family and friends,Events which are free,Events across different times of the day in different places in the city,,,,,Extremely likely,To see a show or event that I know will appeal to my friend or family member,Been a good city to me,,Definitely,Not Sure,Not Sure,Not Sure,Definitely,Don't know / Not sure,Don't know / Not sure,Don't know / Not sure,Don't know / Not sure,Don't know / Not sure,Don't know / Not sure,Very important,Very important,Not sure,,,DD4,,"Yes, limited a little",White – Irish,Heterosexual/Straight,No,RDD,Woodlands,South West,CATI,Prefer not to say / Unable to code,0.7896985
119,119,65+,Female,Yes,Yes,No,No,Yes,No,Agree,Agree,Agree,Agree,,Don't know,,,,,,,,,,,,,,,,,,,,Don't know,Agree,Agree,Agree,Agree,Agree,Agree,,,,,,Cinema,"Activities organised by arts-based community groups (e.g. dance, music, arts, etc.)",,,1-2,The cost,Lack of transport,The events that are on don't appeal to me,Location,Feeling unsafe being out at night,,,,Events that are based on my interests,Events that involve family and friends,Events which are free,Events across different times of the day in different places in the city,Events which are low cost,Offers for exclusive deals with partners such as restaurants and bars,,,Fairly likely,Looking for new experiences,clean city,,Definitely,Not Sure,Definitely,Definitely,Not really,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Not very important,Agree,,Don't know,cv6 2gg,,No,White – British,Heterosexual/Straight,No,RDD,Holbrook,North West,CATI,4 - Financially Stretched,1.2682371
120,120,65+,Female,Yes,Yes,No,Not sure,Yes,No,Not sure,Agree,Agree,Disagree,Another theatre.,,,Arts/theatre/music/cultural events,,,,,,,,,,,,,,,,,,,Agree,Disagree,Disagree,Agree,Disagree,Not sure,Museums and galleries,"Pubs, clubs, and bars",,,Theatre,Cinema,,,,3-4,,,,,,,,,Events that are based on my interests,,,,Events which are low cost,Offers for exclusive deals with partners such as restaurants and bars,,,Not very likely,,Home.,,Definitely,Not Sure,Not really,Somewhat,Not really,Fairly important,Fairly important,Fairly important,Fairly important,Fairly important,Very important,Fairly important,Not at all important,Agree,"The new water feature in Broadgate, and a lovely statue of a young girl with her feet in the water. There's a new one in the centre of Broadgate which looks like a wind turbine. Also, the flowers in the precinct are great.",,CV62DQ,,No,White – British,Heterosexual/Straight,No,Lifestyle,Bablake,North West,CATI,3 - Comfortable Communities,1.2682371
121,121,65+,Male,Yes,Yes,No,No,No,No,Disagree,Agree,Not sure,Disagree,"Should be for everyone, not just a selected few Wasted the opportunity",,,,,,,,,,,,,,,,,,,Other,,,Agree,Strongly disagree,Not sure,Disagree,Disagree,Disagree,Museums and galleries,,Live events,Live music,Theatre,,"Activities organised by arts-based community groups (e.g. dance, music, arts, etc.)",Faith-based cultural activities,,11+,,,,,,,,,Events that are based on my interests,Events that involve family and friends,Events which are free,Events across different times of the day in different places in the city,Events which are low cost,Offers for exclusive deals with partners such as restaurants and bars,Opportunity to earn loyalty points to unlock exclusive experiences and opportunities,,Extremely likely,The opportunity to show off my city,Lady Gadiva  Cars Football Rubgy,,Somewhat,Not at all,Not at all,Definitely,Definitely,Very important,Very important,Very important,Very important,Not very important,Very important,Very important,Not very important,Disagree,,,CV6 1GY,,"Yes, limited a lot",White – British,Heterosexual/Straight,No,RDD,Lower Stoke,South East,CATI,3 - Comfortable Communities,1.3265517
122,122,65+,Male,Yes,No,No,No,No,No,Strongly agree,Disagree,Agree,Strongly disagree,some decent shops - shops which appeal to all generations,,,,Shops/restaurants e.g. variety,,,,,,,,,,,,,,,,,,Strongly disagree,Strongly disagree,Disagree,Disagree,Strongly disagree,Disagree,,"Pubs, clubs, and bars",,,Theatre,Cinema,,,,5-6,,,,,,,,,Events that are based on my interests,,Events which are free,Events across different times of the day in different places in the city,Events which are low cost,Offers for exclusive deals with partners such as restaurants and bars,,,Not likely at all,,second class city -,,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all important,Not at all important,Not at all important,Not at all important,Not at all important,Not at all important,Not at all important,Not at all important,Disagree,,,cv3 5bx,,"Yes, limited a little",White – British,Heterosexual/Straight,No,RDD,Wainbody,South West,CATI,1 - Affluent Achievers,0.8399628
123,123,50-64,Female,Yes,No,No,No,No,Yes,Disagree,Disagree,Not sure,Disagree,"My husband is from Hull. We went to Hull after the city of culture. Hull was wonderful and vibrant. I went to Coventry City Centre, and spent half an hour there, after planning to spend 3 hours there. Given how much money they have been given, all I can see is that they've put up some fountains. Considering what was done in Hull, and the amount of jobs that were created over there, it's a shame to see Coventry has done very little.",,,,,,,,,,,,,,,,,,,Other,,,Agree,Agree,Strongly agree,Agree,Agree,Strongly agree,Museums and galleries,,Live events,Live music,Theatre,Cinema,"Activities organised by arts-based community groups (e.g. dance, music, arts, etc.)",,,11+,,,,,,,,,Events that are based on my interests,,Events which are free,,Events which are low cost,,Opportunity to earn loyalty points to unlock exclusive experiences and opportunities,,Not likely at all,,"Poor, rough, violent, multicultural, big university, neglected the ordinary people from Coventry.",,Not Sure,Not really,Not really,Somewhat,Somewhat,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Not very important,Disagree,,,CV36EF,,No,White – British,Heterosexual/Straight,No,Lifestyle,Wainbody,South West,CATI,3 - Comfortable Communities,0.8615715
124,124,35-49,Male,Yes,No,Yes,No,No,No,Disagree,Disagree,Disagree,Not sure,more community involved. more advertisement,,,,,,Awareness e.g. advertising,,,,Community/integration e.g. bringing people together,,,,,,,,,,,,Agree,Not sure,Agree,Not sure,Not sure,Agree,Museums and galleries,"Pubs, clubs, and bars",Live events,Live music,,Cinema,,Faith-based cultural activities,,1-2,,,,,,,,None / Nothing,Events that are based on my interests,Events that involve family and friends,Events which are free,Events across different times of the day in different places in the city,Events which are low cost,Offers for exclusive deals with partners such as restaurants and bars,Opportunity to earn loyalty points to unlock exclusive experiences and opportunities,,Fairly likely,Looking for new experiences,quiter and calmer than london,,Definitely,Not Sure,Not really,Definitely,Definitely,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Disagree,,,cv3,,No,Asian or Asian British – Indian,Heterosexual/Straight,No,Lifestyle,Lower Stoke,South East,CATI,Prefer not to say / Unable to code,0.9535254
125,125,35-49,Female,Yes,Yes,Yes,Yes,Yes,Yes,Strongly disagree,Strongly disagree,Strongly disagree,Agree,"more contemporary art in the city, more art events,",,,Arts/theatre/music/cultural events,,,,,,,,,,,,,,,,,,,Strongly agree,Agree,Strongly agree,Agree,Not sure,Agree,Museums and galleries,,Live events,Live music,Theatre,Cinema,"Activities organised by arts-based community groups (e.g. dance, music, arts, etc.)",,,11+,,,,,,,,,Events that are based on my interests,Events that involve family and friends,Events which are free,,Events which are low cost,Offers for exclusive deals with partners such as restaurants and bars,,,Fairly likely,Looking for new experiences,"home, historic.",,Definitely,Somewhat,Definitely,Definitely,Definitely,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Strongly agree,more events.,,CV3 6GH,,No,White – British,Heterosexual/Straight,No,Lifestyle,Earlsdon,South West,CATI,1 - Affluent Achievers,0.8615715
126,126,20-34,Male,Yes,Yes,No,No,No,No,Disagree,Not sure,Not sure,Agree,n/a,,,,,,,,,,,,,,,,,,,Other,,,Strongly agree,Agree,Agree,Agree,Agree,Strongly agree,Museums and galleries,"Pubs, clubs, and bars",Live events,,,Cinema,,,,7-8,,,,,,,,,Events that are based on my interests,Events that involve family and friends,Events which are free,Events across different times of the day in different places in the city,Events which are low cost,Offers for exclusive deals with partners such as restaurants and bars,Opportunity to earn loyalty points to unlock exclusive experiences and opportunities,,Fairly likely,Another reason,different to other cities - in a better way - multicultural,,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Fairly important,Very important,Very important,Fairly important,Fairly important,Very important,Fairly important,Not very important,Not sure,,,cv6 6fu,,No,Mixed or Multiple - White and Asian,Heterosexual/Straight,No,Lifestyle,Foleshill,North East,CATI,5 - Urban Adversity,0.9807042
